brand,name,product_type,ingredient,price,rank
LA MER,The Moisturizing Soft Cream,Moisturizer,MEDICAGO SATIVA (ALFALFA) SEED POWDER,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,HELIANTHUS ANNUUS (SUNFLOWER) SEEDCAKE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) SEED MEAL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,EUCALYPTUS GLOBULUS (EUCALYPTUS) LEAF OIL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,SODIUM GLUCONATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,COPPER GLUCONATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CALCIUM GLUCONATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,MAGNESIUM GLUCONATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,ZINC GLUCONATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,TOCOPHERYL SUCCINATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,NIACIN,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,SESAMUM INDICUM (SESAME) SEED POWDER,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,WATER,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CITRUS AURANTIFOLIA (LIME) PEEL EXTRACT,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,LAMINARIA DIGITATA EXTRACT,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CRITHMUM MARITIMUM EXTRACT,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,SALICORNIA HERBACEA EXTRACT,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,PLANKTON EXTRACT,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CHLORELLA VULGARIS EXTRACT,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,GLYCINE SOJA (SOYBEAN) SEED EXTRACT,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,GLYCERIN,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CAFFEINE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,SEA SALT/MARIS SAL/SEL MARIN,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,MICROCOCCUS LYSATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,DIETHYLHEXYL SUCCINATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,ADENOSINE PHOSPHATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CREATINE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,HYDROLYZED ALGIN,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,ISOCETYL STEAROYL STEARATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CETYL ALCOHOL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,SUCROSE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,ACETYL HEXAPEPTIDE-8,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,GLUCOSE OXIDASE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,POLYACRYLAMIDE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,ACETYL CARNITINE HCL,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,GLUCOSE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,CAPRYLIC/CAPRIC TRIGLYCERIDE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,C13-14 ISOPARAFFIN,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,TOCOPHERYL ACETATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,TETRAHEXYLDECYL ASCORBATE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,SODIUM PCA,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,GLYCOSAMINOGLYCANS,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,UREA,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,DISTEARYLDIMONIUM CHLORIDE,175,3.8
LA MER,The Moisturizing Soft Cream,Moisturizer,DIPALMITOYL HYDROXYPROLINE,175,3.8
