ingredient,cmr,product_type
"1,1,2,3,3,6-HEXAMETHYLINDAN-5-YL METHYL KETONE",,Rinse-Off Products
ALLYL BUTYRATE,,
2-PROPENYL BUTANOATE,,
ALLYL CINNAMATE,,
2-PROPENYL 3-PHENYL-2-PROPENOATE,,
ALLYL CYCLOHEXYLACETATE,,
ALLYL CYCLOHEXYLPROPIONATE,,
ALLYL HEPTANOATE,,
2-PROPENYL HEPTANOATE,,
ALLYL CAPROATE,,
ALLYL ISOVALERATE,,
ALLYL OCTANOATE,,
ALLYL PHENOXYACETATE,,
ALLYL PHENYLACETATE,,
"ALLYL 3,5,5-TRIMETHYLHEXANOATE",,
ALLYL CYCLOHEXYLOXYACETATE,,
ALLYL ISOAMYLOXYACETATE,,
ALLYL 2-METHYLBUTOXYACETATE,,
ALLYL NONANOATE,,
ALLYL PROPIONATE,,
ALLYL PHENETHYL ETHER,,
ALLYL TRIMETHYLHEXANOATE,,
ALLYL HEPTINE CARBONATE,,
AMYLCYCLOPENTENONE,,
MYROXYLON BALSAMUM PEREIRAE BALSAM EXTRACT,,
MYROXYLON BALSAMUM PEREIRAE BALSAM OIL,,
MYROXYLON PEREIRAE OIL,,
MYROXYLON PEREIRAE RESIN EXTRACT,,
MYROXYLON PEREIRAE RESIN,,
4-TERT.-BUTYLDIHYDROCINNAMALDEHYDE,,
CUMINUM CYMINUM OIL AND EXTRACT,,Leave-On Products
CUMINUM CYMINUM OIL AND EXTRACT,,Rinse-Off Products
ALPHA-DAMASCONE,,Oral Products
ALPHA-DAMASCONE,,Other Products
CIS-ROSE KETONE 1,,Oral Products
CIS-ROSE KETONE 1,,Other Products
TRANS-ROSE KETONE 1,,Oral Products
TRANS-ROSE KETONE 1,,Other Products
ROSE KETONE 4 (DAMASCONE),,Oral Products
ROSE KETONE 4 (DAMASCONE),,Other Products
ROSE KETONE 3 (DELTA-DAMASCONE),,Oral Products
ROSE KETONE 3 (DELTA-DAMASCONE),,Other Products
TRANS-ROSE KETONE 3,,Oral Products
TRANS-ROSE KETONE 3,,Other Products
CIS-ROSE KETONE 2 (CIS-BETA-DAMASCONE),,Oral Products
CIS-ROSE KETONE 2 (CIS-BETA-DAMASCONE),,Other Products
TRANS-ROSE KETONE 2 (TRANS-BETA-DAMASCONE),,Oral Products
TRANS-ROSE KETONE 2 (TRANS-BETA-DAMASCONE),,Other Products
TRANS-ROSE KETONE-5,,
ROSE KETONE-5,,
TRANS-2-HEXENAL,,Oral Products
TRANS-2-HEXENAL,,Other Products
PERILLALDEHYDE,,Oral Products
PERILLALDEHYDE,,Other Products
ISOBERGAMATE,,
SCENTENAL,,
3-METHYLNON-2-ENENITRILE,,
METHYL OCTINE CARBONATE,,Oral Products
METHYL OCTINE CARBONATE,,Others Products
AMYLVINYLCARBINYL ACETATE,,Oral Products
AMYLVINYLCARBINYL ACETATE,,Other Products
3-PROPYLIDENEPHTHALIDE,,Oral Products
3-PROPYLIDENEPHTHALIDE,,Other Produts
ISOCYCLOGERANIOL,,
2-HEXYLIDENE CYCLOPENTANONE,,Oral Products
2-HEXYLIDENE CYCLOPENTANONE,,Other Products
METHYLHEPTADIENONE,,Oral Products
METHYLHEPTADIENONE,,Other Products
P-METHYLHYDROCINNAMIC ALDEHYDE,,
LIQUIDAMBAR ORIENTALIS OIL AND EXTRACT (STYRAX),,
LIQUIDAMBAR STYRACIFLUA OIL AND EXTRACT (STYRAX),,
"1-(5,6,7,8-TETRAHYDRO-3,5,5,6,8,8,-HEXAMETHYL-2-NAPHTHYL)ETHAN-1-ONE (AHTN)",,All Cosmetic Products With The Exception Of Oral Products
OPOPONAX OIL,,
OPOPANAX CHIRONIUM RESIN EXTRACT,,
TOLUENE,Reprotoxic Cat. 2,Nail Products
DIETHYLENE GLYCOL,,As Traces In Ingredients
BUTOXYDIGLYCOL,,Solvent In Hair Dye Products
BUTOXYETHANOL,,A) Solvent In Oxidative Hair Dye Products B) Solvent In Non-Oxidative Hair Dye Products
CI 19140,,Hair Dye Substance In Non-Oxidative Hair Dye Products
ACID YELLOW 23,,Hair Dye Substance In Non-Oxidative Hair Dye Products
ACID BLUE 9,,Hair Dye Substance In Non-Oxidative Hair Dye Products
CURRY RED,,Hair Dye Substance In Non-Oxidative Hair Dye Products
ACID RED 18,,Hair Dye Substance In Non-Oxidative Hair Dye Products
