product_name,brand,ingredients_text,categories,country,barcode,source
Flakes au quinoa,INGRID COSMETICS,"maïs, quinoa(25%), sucre de canne roux, sel.","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Flocons, Flocons de céréales, Céréales extrudées, Flocons extrudés, Pétales multicéréales","Belgium,France",3380380083716,open_beauty_facts_api
Yaourt brassé sur lit de mangue,INGRID COSMETICS,"Lait entier pasteurisé (origine : France) 77 %, préparation à la mangue, au fruit de la passion et aux arômes naturels 16,6 % (sucre, purée de mangue 3,3 %, eau, morceaux de mangue 1,6%, jus de fruit de la passion à base de concentré 1,6 %, amidon modifié de tapioca, jus de citron concentré, arômes naturels, conservateur : sorbate de potassium), sucre 2,6 %, crème (origine : France), protéines de lait, ferments lactiques.","Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Desserts lactés fermentés aux fruits, Yaourts, Yaourts aux fruits, Yaourts brassés, Yaourts sucrés, Yaourts brassés aux fruits, Yaourts entiers, Yaourts brassés sucrés",France,3413160003588,open_beauty_facts_api
Poki Bio Pomme Fraise,INGRID COSMETICS,"Purée de pommes 84.6%, fraises 15.4%.","Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Desserts, Fruits et produits dérivés, Compotes, Compotes de pomme, Compotes pommes fraise",France,3431590008317,open_beauty_facts_api
Aostinos - 2 Tranches,INGRID COSMETICS,"Jambon et couenne de porc origine France, sel, dextrose, bouillon (couenne et os de porc, extraits de légumes, épices et plantes aromatiques), arômes, conservateurs erythorbate de sodium et nitrite de sodium. Sans gluten.","Viandes et dérivés, Viandes, Charcuteries, Jambons, en:raw-cured-ham",France,3449840404123,open_beauty_facts_api
Tarte Banane Cacao aux Oeufs Frais,INGRID COSMETICS,"Fourrage à la banane 33 %( banane 24 %, sucre, eau, amidon modifié, arôme naturel, antioxydant : acide ascorbique , correcteur 
 d'acidité : acide citrique, conservateur : sorbate de potassium, affermissant : chlorure de calcium, épaississant : agar-agar), nappage, noisette 17 % (sucre, matières grasses végétales (colza, karité, coprah), cacao maigre en poudre 1,2 %, _lait_ écrémé en poudre, _noisettes_ 0.8 %, émulsifiant : lécithines (_soja_) arôme naturel), farine de _blé_, _beurre_, _œufs_ frais (7 %), sucre, eau, amidon de maïs, sel, amidon modifié de maïs, arômes.","Tartes sucrées,Tartes,Tartes au chocolat",France,3456580055874,open_beauty_facts_api
BLEDINA LES RECOLTES BIO Ecrasé de Haricots Verts Carottes Boeuf 2x200g Dès 8 Mois,"Bledina, INGRID COSMETICS, Les recoltes bio","1/3 de pomme de terre* 27,3 % - 1/2 carotte* 24,9 % - Eau de cuisson - 12 haricots verts* 15,0 % - 16 g de viande de boeuf* 8,00 % - Céleri rave* (CELERI) - Huiles végétales* (colza, tournesol) - Oignon* - Persil* - Origan* - Un peu de Thym* - Ail*. *Produits issus de l'agriculture biologique.","Aliments pour bébé, Dès 8 mois, Plats principaux pour bébé, Petits pots pour bébé",France,3041091435743,open_beauty_facts_api
Coquillettes à la semoule de blé dur,INGRID COSMETICS,Semoule de BLÉ dur de qualité supérieure issue de l'agriculture biologique. Traces d'OEUF.,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Cereals and their products, Pastas, Cereal pastas, Dry pastas, Durum wheat pasta, fr:Coquillettes, fr:Coquillettes de blé dur, Dry durum wheat pasta",France,3350033549142,open_beauty_facts_api
Davinci Cosmetics Mineral Blush MB002 Autumn Glow-large,,,,"France, en:australia",5281009276336,open_beauty_facts_api
orange fiber xtra,v'asia cosmetic & healthcare,,Food additives,en:Malaysia,9555582801169,open_beauty_facts_api
D'or,Euro cosmetic's,,,en:Senegal,3700607938023,open_beauty_facts_api
Тканевая маска для лица &quot;Жемчуг&quot;,LS COSMETIC,,,en:Russia,8809462422953,open_beauty_facts_api
Xcalp Serum,HD Cosmetic Efficiency,,,España,8424561082947,open_beauty_facts_api
removedor de maquillaje bifasico,delia cosmetics,,maquillaje,en:Colombia,5906750800295,open_beauty_facts_api
"Paysan Breton, The Whipped Cheese",Corly International Cosmetic,"Pasteurized buttermilk, cream and skimmed milk, sea salt from guerande (1.1%), buttermilk powder, milk protein, lactic starters.","Dairies, Fermented foods, Fermented milk products, Cheeses",United States,0023624070303,open_beauty_facts_api
Bloody Mary Mixer,"Trader Joe's,  Procter & Gamble  Cosmetic & Frag. Prod.","Tomato puree (water, tomato paste), iodized salt, citric acid, spices, sugar, distilled vinegar, calm broth (clams, maltodextrin, corn, sugar, salt), onion powder, garlic powder.","Beverages, Alcoholic beverages",United States,00823111,open_beauty_facts_api
"Slipstream, Premium Organic Granola, Theo's Blend Dark Chocolate",Jodi Cosmetics  Inc.,"Organic oats, organic coconut, organic honey, organic almonds, organic brown sugar, organic non-gmo canola oil, organic all purpose wheat flour, organic hazelnuts, organic dark chocolate (organic cocoa beans, organic sugar, organic cocoa butter, organic g",,United States,0640206953986,open_beauty_facts_api
